,department,education,gender,no_of_trainings,age,previous_year_rating,length_of_service,kpi_80,award_won,avg_training_score,is_promoted,sum_metric,total_score
7541,Analytics,Master's & above,m,1,30,3.0,6,0.0,0,85.0,0,3.0,130.5
7542,HR,Bachelor's,f,1,33,1.5,3,0.0,0,48.0,0,1.0,48.0
7543,Operations,Bachelor's,f,1,51,3.0,4,0.0,0,60.0,0,3.0,60.0
7544,Technology,Bachelor's,m,1,30,3.0,7,1.0,0,74.0,0,4.0,74.0
7545,Legal,Bachelor's,f,1,33,3.0,7,1.0,0,58.0,0,4.0,58.0
7546,Finance,Bachelor's,f,1,31,5.0,5,1.0,0,58.0,0,6.0,58.0
7547,Sales & Marketing,Bachelor's,m,1,54,3.0,13,0.0,0,49.0,0,3.0,49.0
7548,Operations,Bachelor's,m,1,32,2.0,5,0.0,0,59.0,0,2.0,59.0
7549,Operations,Bachelor's,f,1,31,5.0,2,1.0,0,55.0,1,6.0,55.0
7550,Procurement,Bachelor's,m,1,28,5.0,5,1.0,0,73.0,0,6.0,73.0
7551,Procurement,Master's & above,m,1,45,3.0,13,0.0,0,70.0,0,3.0,70.0
7552,Procurement,Bachelor's,m,1,35,4.0,7,1.0,0,69.0,0,5.0,69.0
7553,Sales & Marketing,Master's & above,m,1,38,3.0,9,0.0,0,44.0,0,3.0,44.0
7554,Operations,Bachelor's,f,1,33,2.0,3,1.0,0,58.0,1,3.0,58.0
7555,Procurement,Bachelor's,m,1,35,3.0,6,0.0,0,66.0,0,3.0,130.5
7556,Operations,Bachelor's,m,1,36,5.0,10,0.0,0,65.0,0,5.0,130.0
7557,Operations,Below Secondary,m,1,24,4.0,2,0.0,0,60.0,0,4.0,60.0
7558,Technology,Bachelor's,m,1,24,3.0,2,0.0,0,87.0,0,3.0,130.5
7559,Operations,Bachelor's,f,1,34,4.0,5,0.0,0,58.0,0,4.0,58.0
7560,Sales & Marketing,Bachelor's,f,1,32,3.0,2,0.0,0,49.0,0,3.0,49.0
7561,Sales & Marketing,Bachelor's,m,1,42,1.5,11,0.0,0,46.0,0,1.0,46.0
7562,Operations,Master's & above,m,1,45,3.0,8,0.0,0,73.0,1,3.0,73.0
7563,Operations,Bachelor's,f,1,32,3.0,5,1.0,0,60.0,0,4.0,60.0
7564,Operations,Bachelor's,f,1,27,5.0,2,1.0,0,58.0,0,6.0,58.0
7565,Procurement,Bachelor's,f,1,39,1.5,13,0.0,0,71.0,0,1.0,71.0
7566,Technology,Bachelor's,m,1,32,5.0,5,0.0,0,81.0,1,5.0,81.0
7567,Analytics,Bachelor's,m,1,40,3.0,6,1.0,0,84.0,0,4.0,84.0
7568,Analytics,Master's & above,m,1,31,3.0,5,0.0,0,86.0,0,3.0,86.0
7569,Procurement,Bachelor's,f,1,53,3.0,4,0.0,0,75.0,0,3.0,75.0
7570,Analytics,Bachelor's,m,1,33,5.0,7,1.0,0,91.0,1,7.0,91.0
7571,Sales & Marketing,Bachelor's,m,1,30,4.0,4,1.0,0,54.0,0,5.0,108.0
7572,Operations,Master's & above,f,1,44,5.0,6,1.0,0,54.0,0,6.0,54.0
7573,Sales & Marketing,Bachelor's,m,1,32,1.5,6,1.0,0,52.0,0,3.0,52.0
7574,Analytics,Bachelor's,m,1,29,3.0,1,0.0,0,84.0,0,,84.0
7575,Operations,Bachelor's,f,1,27,3.0,4,0.0,0,61.0,0,3.0,61.0
7576,Technology,Master's & above,f,1,39,4.0,10,1.0,0,75.0,0,5.0,75.0
7577,Procurement,Bachelor's,f,1,50,3.0,12,0.0,0,71.0,0,3.0,71.0
7578,Technology,Master's & above,f,1,37,3.0,10,0.0,0,75.0,0,3.0,75.0
7579,Finance,Bachelor's,m,1,27,5.0,3,0.0,0,92.0,1,5.0,92.0
7580,Operations,Master's & above,m,1,40,3.0,7,0.0,0,57.0,0,3.0,57.0
7581,Sales & Marketing,Master's & above,m,1,33,5.0,6,0.0,0,93.0,1,6.0,93.0
7582,Operations,Master's & above,m,1,40,5.0,10,1.0,0,53.0,0,6.0,53.0
7583,Sales & Marketing,Bachelor's,m,1,28,3.0,4,1.0,0,53.0,0,4.0,53.0
7584,R&D,Master's & above,m,1,30,5.0,2,0.0,0,85.0,0,5.0,130.5
7585,Operations,Bachelor's,m,1,29,3.0,5,0.0,0,56.0,0,3.0,112.0
7586,Sales & Marketing,Master's & above,f,1,51,2.0,13,0.0,0,48.0,0,2.0,48.0
7587,Procurement,Master's & above,f,1,33,3.0,6,0.0,0,86.0,1,3.0,86.0
7588,Sales & Marketing,Bachelor's,m,1,29,5.0,4,0.0,0,49.0,0,5.0,49.0
7589,Technology,Master's & above,f,1,30,3.0,3,0.0,0,80.0,0,3.0,80.0
7590,Operations,Master's & above,m,1,40,1.5,7,0.0,0,63.0,0,1.0,63.0
7591,Sales & Marketing,Bachelor's,m,1,39,4.0,7,0.0,0,44.0,0,4.0,44.0
7592,Sales & Marketing,Master's & above,m,1,45,4.0,4,0.0,0,49.0,0,4.0,49.0
7593,Analytics,Master's & above,m,1,35,4.0,7,0.0,0,84.0,0,4.0,84.0
7594,Sales & Marketing,Bachelor's,m,1,26,3.0,2,0.0,0,49.0,0,3.0,49.0
7595,Analytics,Bachelor's,m,1,28,3.0,1,0.0,0,87.0,0,,87.0
7596,Technology,Master's & above,f,1,45,1.5,3,1.0,0,83.0,0,2.0,83.0
7597,Technology,Master's & above,m,1,33,3.0,4,0.0,0,80.0,0,3.0,130.5
7598,Sales & Marketing,Bachelor's,m,1,33,2.0,4,0.0,0,50.0,0,2.0,50.0
7599,Sales & Marketing,Master's & above,m,1,33,4.0,5,0.0,0,46.0,0,4.0,46.0
7600,HR,Master's & above,m,1,37,5.0,11,1.0,0,93.0,1,6.0,93.0
7601,Sales & Marketing,Bachelor's,m,1,34,3.0,8,0.0,0,53.0,0,3.0,53.0
7602,Operations,Bachelor's,m,1,35,3.0,7,0.0,0,61.0,0,3.0,61.0
7603,Analytics,Bachelor's,m,1,44,3.0,13,0.0,0,83.0,0,3.0,130.5
7604,Analytics,Bachelor's,m,1,53,3.0,13,0.0,0,86.0,0,3.0,86.0
7605,Finance,Bachelor's,m,1,40,3.0,9,0.0,0,57.0,0,3.0,57.0
7606,Analytics,Bachelor's,m,1,30,5.0,7,1.0,0,82.0,0,6.0,130.5
7607,Sales & Marketing,Bachelor's,m,1,27,3.0,1,0.0,0,85.0,1,,130.5
7608,HR,Bachelor's,f,1,33,3.0,8,0.0,0,55.0,0,3.0,55.0
7609,R&D,Master's & above,m,1,33,5.0,4,0.0,0,88.0,1,5.0,88.0
7610,Analytics,Master's & above,m,1,34,3.0,7,1.0,0,89.0,0,4.0,89.0
7611,Procurement,Bachelor's,m,1,29,5.0,2,1.0,0,72.0,0,6.0,72.0
7612,Sales & Marketing,Bachelor's,m,1,37,3.0,4,1.0,0,49.0,0,4.0,49.0
7613,Operations,Master's & above,f,1,50,5.0,8,1.0,0,58.0,0,6.0,58.0
7614,Analytics,Bachelor's,m,1,27,2.0,2,0.0,0,85.0,0,2.0,130.5
7615,Operations,Bachelor's,f,1,29,3.0,1,0.0,0,59.0,0,,59.0
7616,Procurement,Bachelor's,f,1,30,2.0,4,1.0,0,68.0,1,3.0,68.0
7617,Operations,Bachelor's,m,1,31,5.0,3,0.0,0,57.0,0,5.0,57.0
7618,HR,Bachelor's,m,1,29,5.0,2,1.0,0,49.0,0,6.0,49.0
7619,Operations,Bachelor's,f,1,37,3.0,8,0.0,0,58.0,0,3.0,58.0
7620,Sales & Marketing,Bachelor's,m,1,30,3.0,1,1.0,0,47.0,0,,94.0
7621,Operations,Master's & above,m,1,53,5.0,2,0.0,0,60.0,0,5.0,60.0
7622,Technology,Bachelor's,m,1,26,3.0,2,0.0,0,86.0,1,3.0,86.0
7623,Sales & Marketing,Master's & above,m,1,38,4.0,3,0.0,0,46.0,0,4.0,92.0
7624,Sales & Marketing,Bachelor's,m,1,34,3.0,7,0.0,0,51.0,0,3.0,102.0
7625,Technology,Master's & above,m,1,33,1.5,7,0.0,0,78.0,0,1.0,78.0
7626,Analytics,Master's & above,m,1,37,1.5,6,0.0,0,84.0,0,1.0,84.0
7627,Finance,Bachelor's,m,1,27,3.0,3,1.0,0,59.0,1,4.0,59.0
7628,Analytics,Bachelor's,f,1,28,3.0,2,0.0,0,83.0,0,3.0,130.5
7629,HR,Bachelor's,f,1,30,4.0,5,0.0,0,45.0,0,4.0,45.0
7630,Sales & Marketing,Bachelor's,m,1,29,3.0,7,1.0,0,48.0,1,5.0,48.0
7631,Operations,Master's & above,m,1,34,3.0,4,0.0,0,54.0,0,3.0,54.0
7632,Sales & Marketing,Master's & above,m,1,39,3.0,3,1.0,0,43.0,0,4.0,43.0
7633,Technology,Master's & above,m,1,34,3.0,4,0.0,0,81.0,0,3.0,81.0
7634,Sales & Marketing,Bachelor's,m,1,54,4.0,12,0.0,0,50.0,0,4.0,50.0
7635,Sales & Marketing,Bachelor's,m,1,30,3.0,2,1.0,0,48.0,1,4.0,48.0
7636,Sales & Marketing,Bachelor's,m,1,23,3.0,1,0.0,0,50.0,0,,130.5
7637,Technology,Bachelor's,f,1,27,5.0,2,1.0,0,79.0,1,6.0,79.0
7638,Operations,Bachelor's,m,1,35,2.0,3,0.0,0,64.0,0,2.0,64.0
7639,Technology,Master's & above,f,1,37,2.0,9,0.0,0,80.0,0,2.0,80.0
7640,R&D,Master's & above,m,1,30,5.0,4,1.0,0,88.0,0,6.0,130.5
7641,Analytics,Master's & above,m,1,31,3.0,6,1.0,0,86.0,0,4.0,86.0
7642,HR,Master's & above,m,1,46,3.0,13,0.0,0,46.0,0,3.0,92.0
7643,Sales & Marketing,Bachelor's,m,1,52,2.0,10,0.0,0,48.0,0,2.0,48.0
7644,Sales & Marketing,Bachelor's,m,1,35,1.5,7,0.0,0,46.0,0,1.0,92.0
7645,Operations,Master's & above,f,1,43,4.0,11,0.0,0,60.0,0,4.0,60.0
7646,Sales & Marketing,Bachelor's,m,1,28,5.0,7,0.0,0,53.0,0,5.0,53.0
7647,Technology,Bachelor's,m,1,40,4.0,10,0.0,0,73.0,0,4.0,73.0
7648,Technology,Master's & above,m,1,52,4.0,3,1.0,0,78.0,0,5.0,78.0
7649,Technology,Bachelor's,m,1,29,3.0,6,0.0,0,79.0,0,3.0,79.0
7650,Procurement,Bachelor's,f,1,24,3.0,1,0.0,0,68.0,0,,68.0
7651,Sales & Marketing,Bachelor's,m,1,30,2.0,2,0.0,0,51.0,0,2.0,130.5
7652,Legal,Bachelor's,m,1,25,3.0,1,0.0,0,60.0,0,,120.0
7653,Operations,Master's & above,f,1,39,3.0,4,0.0,0,61.0,0,3.0,61.0
7654,Technology,Master's & above,f,1,49,3.0,13,0.0,0,80.0,0,3.0,80.0
7655,Technology,Bachelor's,m,1,36,4.0,10,0.0,0,83.0,0,4.0,83.0
7656,Sales & Marketing,Bachelor's,m,1,50,5.0,13,0.0,0,46.0,0,5.0,46.0
7657,Analytics,Master's & above,m,1,54,2.0,13,0.0,0,85.0,0,2.0,85.0
7658,Analytics,Bachelor's,m,1,32,5.0,7,0.0,0,83.0,1,5.0,83.0
7659,Sales & Marketing,Bachelor's,m,1,35,1.5,9,0.0,0,49.0,0,1.0,130.5
7660,Finance,Bachelor's,m,1,32,3.0,5,1.0,0,61.0,0,5.0,122.0
7661,Sales & Marketing,Bachelor's,m,1,31,3.0,1,0.0,0,53.0,0,,130.5
7662,Sales & Marketing,Bachelor's,m,1,31,1.5,4,0.0,0,45.0,0,1.0,45.0
7663,Operations,Bachelor's,m,1,30,1.5,6,0.0,0,58.0,0,1.0,58.0
7664,Procurement,Master's & above,m,1,40,4.0,7,1.0,0,67.0,0,5.0,67.0
7665,Analytics,Master's & above,m,1,45,5.0,12,0.0,0,79.0,0,5.0,130.5
7666,Sales & Marketing,Bachelor's,f,1,38,3.0,10,0.0,0,51.0,0,3.0,102.0
7667,Technology,Master's & above,m,1,39,2.0,7,0.0,0,78.0,0,2.0,78.0
7668,Operations,Bachelor's,f,1,30,3.0,1,0.0,0,57.0,0,,114.0
7669,Operations,Master's & above,f,1,40,5.0,4,0.0,0,73.0,1,5.0,73.0
7670,Finance,Bachelor's,m,1,30,5.0,4,1.0,0,57.0,0,6.0,57.0
7671,Operations,Bachelor's,f,1,27,3.0,3,1.0,0,58.0,0,4.0,58.0
7672,Procurement,Master's & above,m,1,39,4.0,8,1.0,0,67.0,0,5.0,67.0
7673,Operations,Bachelor's,m,1,28,3.0,5,0.0,0,59.0,0,3.0,59.0
7674,Sales & Marketing,Bachelor's,m,1,33,4.0,7,0.0,0,52.0,0,4.0,52.0
7675,Procurement,Master's & above,f,1,40,3.0,13,0.0,0,72.0,0,3.0,72.0
7676,HR,Bachelor's,m,1,30,3.0,3,0.0,0,52.0,0,3.0,52.0
7677,Finance,Below Secondary,f,1,26,3.0,1,1.0,0,62.0,0,,62.0
7678,Sales & Marketing,Bachelor's,m,1,39,3.0,13,0.0,0,44.0,0,3.0,44.0
7679,Sales & Marketing,Bachelor's,m,1,35,1.5,5,0.0,0,48.0,0,1.0,48.0
7680,Sales & Marketing,Bachelor's,f,1,32,4.0,7,0.0,0,50.0,0,4.0,50.0
7681,Procurement,Bachelor's,m,1,30,3.0,5,0.0,0,68.0,0,3.0,68.0
7682,Operations,Master's & above,m,1,42,3.0,7,0.0,0,60.0,0,3.0,60.0
7683,Operations,Bachelor's,m,1,37,3.0,7,0.0,0,55.0,0,3.0,55.0
7684,Analytics,Bachelor's,m,1,35,5.0,2,0.0,0,84.0,0,5.0,84.0
7685,Sales & Marketing,Master's & above,m,1,35,4.0,5,0.0,0,48.0,0,4.0,48.0
7686,Sales & Marketing,Bachelor's,m,1,45,3.0,5,0.0,0,51.0,0,3.0,51.0
7687,Finance,Bachelor's,m,1,27,3.0,6,1.0,0,60.0,0,4.0,60.0
7688,Finance,Bachelor's,m,1,29,3.0,1,1.0,0,56.0,0,,56.0
7689,Operations,Master's & above,m,1,37,4.0,7,0.0,0,62.0,0,4.0,62.0
7690,Operations,Bachelor's,f,1,37,4.0,2,0.0,0,59.0,0,4.0,118.0
7691,Sales & Marketing,Master's & above,m,1,42,4.0,5,0.0,0,50.0,0,4.0,50.0
7692,Operations,Below Secondary,f,1,24,3.0,2,0.0,0,61.0,0,3.0,61.0
7693,Sales & Marketing,Bachelor's,m,1,29,4.0,3,0.0,0,49.0,0,4.0,49.0
7694,Sales & Marketing,Bachelor's,m,1,33,5.0,5,1.0,0,54.0,1,6.0,54.0
7695,Technology,Bachelor's,f,1,27,3.0,3,0.0,0,83.0,0,3.0,83.0
7696,Sales & Marketing,Bachelor's,m,1,25,3.0,1,0.0,0,50.0,0,,50.0
7697,Sales & Marketing,Bachelor's,m,1,28,3.0,1,1.0,0,49.0,1,,49.0
7698,HR,Bachelor's,f,1,33,4.0,4,1.0,0,49.0,0,5.0,49.0
7699,Sales & Marketing,Bachelor's,m,1,33,1.5,6,0.0,0,48.0,0,1.0,48.0
7700,Finance,Master's & above,f,1,35,5.0,5,0.0,0,59.0,0,5.0,59.0
7701,Operations,Bachelor's,f,1,34,5.0,10,0.0,0,57.0,0,5.0,57.0
7702,Operations,Bachelor's,m,1,40,5.0,3,1.0,0,61.0,0,6.0,61.0
7703,Procurement,Bachelor's,f,1,29,5.0,4,1.0,0,69.0,0,6.0,69.0
7704,Finance,Master's & above,m,1,41,3.0,12,0.0,0,66.0,0,3.0,66.0
7705,R&D,Bachelor's,m,1,33,4.0,5,0.0,0,88.0,0,4.0,88.0
7706,Sales & Marketing,Bachelor's,f,1,23,3.0,1,0.0,0,50.0,0,,50.0
7707,Procurement,Bachelor's,m,1,30,3.0,3,0.0,0,71.0,0,3.0,71.0
7708,Operations,Bachelor's,m,1,27,3.0,1,0.0,0,60.0,0,,60.0
7709,Sales & Marketing,Master's & above,m,1,37,3.0,9,0.0,0,54.0,0,3.0,54.0
7710,Sales & Marketing,Bachelor's,m,1,30,1.5,6,1.0,0,50.0,0,2.0,100.0
7711,Procurement,Master's & above,m,1,43,5.0,4,1.0,0,71.0,0,6.0,71.0
7712,Sales & Marketing,Master's & above,f,1,35,3.0,3,1.0,0,51.0,0,4.0,51.0
7713,Finance,Bachelor's,f,1,30,3.0,1,1.0,0,59.0,1,,59.0
7714,R&D,Master's & above,m,1,41,5.0,9,1.0,0,83.0,0,6.0,130.5
7715,Sales & Marketing,Bachelor's,f,1,34,5.0,4,1.0,0,50.0,0,6.0,50.0
7716,Operations,Bachelor's,m,1,45,5.0,13,0.0,0,57.0,0,5.0,57.0
7717,Operations,Master's & above,f,1,37,4.0,10,0.0,0,56.0,0,4.0,56.0
7718,Finance,Bachelor's,m,1,31,3.0,6,0.0,0,60.0,0,3.0,60.0
7719,Sales & Marketing,Bachelor's,m,1,31,3.0,5,0.0,0,46.0,0,3.0,130.5
7720,Procurement,Bachelor's,f,1,30,3.0,1,1.0,0,71.0,1,,71.0
7721,Analytics,Bachelor's,f,1,37,5.0,8,1.0,0,90.0,1,6.0,90.0
7722,Operations,Bachelor's,m,1,46,3.0,13,0.0,0,58.0,0,3.0,58.0
7723,Operations,Bachelor's,f,1,30,1.5,3,0.0,0,59.0,0,1.0,59.0
7724,Operations,Bachelor's,f,1,33,3.0,1,0.0,0,59.0,0,,59.0
7725,Technology,Master's & above,f,1,37,5.0,3,1.0,0,86.0,1,6.0,130.5
7726,Operations,Bachelor's,m,1,31,5.0,4,1.0,0,63.0,0,6.0,63.0
7727,Operations,Bachelor's,m,1,50,5.0,6,1.0,0,60.0,0,6.0,60.0
7728,Technology,Bachelor's,m,1,27,3.0,1,0.0,0,77.0,0,,77.0
7729,Sales & Marketing,Bachelor's,f,1,45,3.0,5,0.0,0,46.0,0,3.0,46.0
7730,Technology,Bachelor's,f,1,27,3.0,5,0.0,0,76.0,0,3.0,76.0
7731,HR,Master's & above,f,1,41,3.0,13,0.0,0,52.0,0,3.0,52.0
7732,Technology,Bachelor's,f,1,30,3.0,6,0.0,0,81.0,0,3.0,130.5
7733,Technology,Bachelor's,m,1,45,1.5,3,1.0,0,83.0,0,2.0,83.0
7734,Operations,Bachelor's,f,1,33,4.0,9,0.0,0,60.0,0,4.0,120.0
7735,Analytics,Bachelor's,m,1,39,3.0,13,0.0,0,82.0,1,3.0,82.0
7736,Sales & Marketing,Bachelor's,f,1,33,5.0,3,0.0,0,48.0,0,5.0,48.0
7737,Finance,Bachelor's,m,1,38,4.0,5,1.0,0,61.0,0,5.0,61.0
7738,Operations,Bachelor's,m,1,33,3.0,9,0.0,0,58.0,0,3.0,116.0
7739,Sales & Marketing,Master's & above,m,1,34,1.5,10,0.0,0,50.0,0,1.0,50.0
7740,Sales & Marketing,Bachelor's,m,1,31,1.5,5,1.0,0,44.0,0,2.0,44.0
7741,Procurement,Bachelor's,m,1,31,3.0,2,0.0,0,73.0,0,3.0,73.0
7742,Technology,Master's & above,f,1,34,3.0,8,0.0,0,79.0,0,3.0,79.0
7743,Operations,Bachelor's,f,1,42,3.0,3,0.0,0,58.0,0,3.0,58.0
7744,Sales & Marketing,Bachelor's,m,1,34,5.0,7,0.0,0,51.0,0,5.0,51.0
7745,Operations,Master's & above,m,1,50,5.0,13,0.0,0,74.0,1,5.0,74.0
7746,Operations,Bachelor's,m,1,29,3.0,3,1.0,0,60.0,1,4.0,60.0
7747,Operations,Bachelor's,m,1,24,4.0,6,1.0,0,59.0,0,5.0,59.0
7748,Sales & Marketing,Bachelor's,m,1,27,4.0,2,1.0,0,49.0,0,5.0,49.0
7749,Operations,Bachelor's,f,1,26,3.0,2,1.0,0,58.0,0,4.0,58.0
7750,Procurement,Bachelor's,f,1,28,3.0,1,0.0,0,66.0,0,,130.5
7751,Procurement,Bachelor's,f,1,29,5.0,2,1.0,0,73.0,1,6.0,73.0
7752,Procurement,Bachelor's,f,1,26,1.5,3,0.0,0,69.0,0,1.0,69.0
7753,HR,Bachelor's,m,1,31,1.5,7,0.0,0,48.0,0,1.0,96.0
7754,Technology,Bachelor's,m,1,38,3.0,7,0.0,0,77.0,0,3.0,77.0
7755,Technology,Bachelor's,m,1,35,5.0,5,1.0,0,80.0,1,7.0,80.0
7756,Procurement,Master's & above,m,1,46,3.0,13,0.0,0,69.0,0,3.0,130.5
7757,Sales & Marketing,Bachelor's,m,1,33,2.0,8,0.0,0,53.0,0,2.0,53.0
7758,Finance,Bachelor's,m,1,29,3.0,6,0.0,0,57.0,0,3.0,57.0
7759,Procurement,Bachelor's,m,1,37,3.0,8,0.0,0,75.0,0,3.0,130.5
7760,Sales & Marketing,Master's & above,f,1,30,1.5,5,0.0,0,49.0,0,1.0,98.0
7761,Technology,Master's & above,m,1,54,2.0,13,0.0,0,80.0,0,2.0,80.0
7762,HR,Master's & above,m,1,35,5.0,9,0.0,0,43.0,0,5.0,43.0
7763,Technology,Bachelor's,m,1,34,3.0,7,0.0,0,75.0,0,3.0,75.0
7764,Sales & Marketing,Master's & above,m,1,35,4.0,5,1.0,0,49.0,0,5.0,98.0
7765,Sales & Marketing,Master's & above,m,1,31,4.0,4,0.0,0,53.0,0,4.0,53.0
7766,Operations,Master's & above,m,1,40,4.0,5,1.0,0,57.0,0,5.0,57.0
7767,Sales & Marketing,Bachelor's,m,1,31,5.0,7,1.0,0,53.0,1,6.0,53.0
7768,HR,Master's & above,m,1,37,2.0,4,1.0,0,54.0,0,3.0,54.0
7769,Procurement,Bachelor's,f,1,28,3.0,1,0.0,0,71.0,0,,71.0
7770,Analytics,Bachelor's,m,1,32,5.0,6,1.0,0,89.0,0,6.0,89.0
7771,HR,Bachelor's,f,1,42,5.0,4,0.0,0,49.0,0,5.0,49.0
7772,Analytics,Bachelor's,m,1,32,4.0,2,0.0,0,80.0,0,4.0,130.5
7773,Sales & Marketing,Bachelor's,m,1,25,2.0,2,1.0,0,51.0,0,3.0,102.0
7774,Analytics,Bachelor's,m,1,32,4.0,10,1.0,0,85.0,0,5.0,85.0
7775,Sales & Marketing,Bachelor's,m,1,36,1.5,9,0.0,0,47.0,0,1.0,47.0
7776,Sales & Marketing,Master's & above,m,1,35,3.0,1,0.0,0,47.0,0,,47.0
7777,Technology,Bachelor's,m,1,31,4.0,4,0.0,0,77.0,0,4.0,77.0
7778,Analytics,Bachelor's,f,1,29,4.0,4,1.0,0,81.0,0,5.0,81.0
7779,Technology,Bachelor's,m,1,43,1.5,6,0.0,0,81.0,0,1.0,81.0
7780,Operations,Master's & above,m,1,51,5.0,13,1.0,0,62.0,0,6.0,130.5
7781,Operations,Bachelor's,f,1,30,4.0,2,1.0,0,60.0,0,5.0,60.0
7782,Analytics,Bachelor's,m,1,34,3.0,8,0.0,0,82.0,0,3.0,82.0
7783,HR,Bachelor's,f,1,34,3.0,4,1.0,0,50.0,0,4.0,50.0
7784,Sales & Marketing,Master's & above,m,1,33,3.0,9,0.0,0,51.0,0,3.0,51.0
7785,HR,Bachelor's,m,1,34,5.0,7,1.0,0,46.0,0,6.0,46.0
7786,Technology,Master's & above,m,1,31,4.0,5,0.0,0,82.0,0,4.0,82.0
7787,Sales & Marketing,Bachelor's,m,1,22,3.0,1,0.0,0,50.0,0,,50.0
7788,Technology,Bachelor's,f,1,22,2.0,2,1.0,0,79.0,0,3.0,79.0
7789,Sales & Marketing,Bachelor's,m,1,37,5.0,7,1.0,0,52.0,0,6.0,52.0
7790,Analytics,Master's & above,m,1,33,4.0,6,1.0,0,85.0,0,5.0,85.0
7791,Legal,Bachelor's,m,1,28,5.0,3,1.0,0,59.0,0,6.0,59.0
7792,Procurement,Bachelor's,m,1,35,3.0,9,0.0,0,69.0,0,3.0,69.0
7793,Operations,Bachelor's,f,1,30,3.0,5,0.0,0,56.0,0,3.0,112.0
7794,Technology,Bachelor's,m,1,28,5.0,3,1.0,0,81.0,0,6.0,81.0
7795,Analytics,Bachelor's,m,1,27,4.0,3,1.0,0,78.0,0,5.0,130.5
7796,Analytics,Bachelor's,m,1,28,2.0,3,1.0,0,86.0,0,3.0,86.0
7797,Technology,Master's & above,m,1,44,3.0,13,0.0,0,81.0,0,3.0,81.0
7798,Procurement,Bachelor's,f,1,32,2.0,4,1.0,0,69.0,0,3.0,69.0
7799,Operations,Bachelor's,m,1,37,3.0,11,0.0,0,56.0,0,3.0,56.0
7800,Sales & Marketing,Bachelor's,m,1,43,5.0,3,0.0,0,51.0,0,5.0,51.0
7801,Technology,Bachelor's,m,1,33,4.0,2,0.0,0,78.0,0,4.0,78.0
7802,Sales & Marketing,Master's & above,m,1,34,3.0,9,0.0,0,53.0,0,3.0,53.0
7803,Sales & Marketing,Bachelor's,f,1,27,3.0,1,1.0,0,45.0,0,,45.0
7804,Sales & Marketing,Bachelor's,m,1,29,5.0,1,0.0,0,46.0,0,5.0,46.0
7805,Operations,Bachelor's,m,1,45,4.0,9,0.0,0,62.0,0,4.0,62.0
7806,Operations,Bachelor's,m,1,49,4.0,13,0.0,0,59.0,0,4.0,59.0
7807,Sales & Marketing,Bachelor's,m,1,32,3.0,3,1.0,0,52.0,0,4.0,104.0
7808,Procurement,Master's & above,f,1,39,3.0,6,0.0,0,69.0,0,3.0,130.5
7809,Operations,Master's & above,m,1,39,5.0,10,0.0,0,61.0,0,5.0,61.0
7810,Operations,Bachelor's,f,1,38,5.0,3,1.0,0,56.0,0,6.0,56.0
7811,Operations,Bachelor's,m,1,35,5.0,9,1.0,0,59.0,1,6.0,59.0
7812,Operations,Bachelor's,m,1,25,3.0,3,0.0,0,61.0,0,3.0,61.0
7813,Sales & Marketing,Bachelor's,m,1,28,5.0,3,0.0,0,51.0,0,5.0,102.0
7814,Technology,Master's & above,m,1,53,1.5,6,0.0,0,79.0,0,1.0,79.0
7815,Finance,Bachelor's,m,1,34,3.0,5,1.0,0,59.0,0,4.0,59.0
7816,Analytics,Bachelor's,m,1,30,5.0,4,0.0,0,87.0,0,5.0,87.0
7817,Technology,Bachelor's,m,1,44,4.0,12,0.0,0,78.0,0,4.0,78.0
7818,Operations,Master's & above,m,1,34,5.0,8,1.0,0,87.0,1,7.0,87.0
7819,Analytics,Bachelor's,m,1,32,4.0,8,1.0,0,85.0,0,5.0,85.0
7820,Procurement,Master's & above,m,1,40,4.0,7,1.0,0,67.0,0,5.0,130.5
7821,Analytics,Bachelor's,m,1,36,3.0,7,1.0,0,80.0,0,4.0,130.5
7822,Operations,Bachelor's,f,1,31,5.0,7,1.0,0,58.0,0,6.0,58.0
7823,Sales & Marketing,Bachelor's,f,1,28,3.0,6,0.0,0,50.0,0,3.0,100.0
7824,Sales & Marketing,Bachelor's,m,1,34,4.0,6,1.0,0,46.0,1,5.0,46.0
7825,Sales & Marketing,Master's & above,m,1,39,1.5,7,0.0,0,50.0,0,1.0,100.0
7826,Sales & Marketing,Bachelor's,f,1,29,3.0,5,0.0,0,50.0,0,3.0,50.0
7827,Procurement,Master's & above,m,1,36,1.5,4,0.0,0,66.0,0,1.0,66.0
7828,Sales & Marketing,Bachelor's,m,1,31,1.5,3,0.0,0,47.0,0,1.0,130.5
7829,Analytics,Bachelor's,m,1,33,4.0,8,0.0,0,84.0,0,4.0,84.0
7830,Operations,Master's & above,m,1,42,3.0,7,0.0,0,60.0,0,3.0,60.0
7831,Operations,Bachelor's,f,1,31,5.0,2,0.0,0,57.0,0,5.0,57.0
7832,Technology,Bachelor's,m,1,37,1.5,10,0.0,0,81.0,0,1.0,81.0
7833,Operations,Bachelor's,m,1,26,4.0,3,1.0,0,59.0,0,5.0,59.0
7834,Procurement,Bachelor's,m,1,47,4.0,6,0.0,0,68.0,0,4.0,68.0
7835,Sales & Marketing,Master's & above,m,1,40,5.0,9,0.0,0,51.0,0,5.0,51.0
7836,Analytics,Master's & above,m,1,34,4.0,10,0.0,0,85.0,0,4.0,85.0
